gene1,gene2
ENSG00000032742,ENSG00000103363
ENSG00000032742,ENSG00000175387
ENSG00000032742,ENSG00000119599
ENSG00000032742,ENSG00000143207
ENSG00000032742,ENSG00000159069
ENSG00000032742,ENSG00000132017
ENSG00000032742,ENSG00000132326
ENSG00000032742,ENSG00000099817
ENSG00000032742,ENSG00000134086
ENSG00000032742,ENSG00000117153
ENSG00000032742,ENSG00000175305
ENSG00000032742,ENSG00000124702
ENSG00000032742,ENSG00000183580
ENSG00000032742,ENSG00000163257
ENSG00000032742,ENSG00000143476
ENSG00000032742,ENSG00000134574
ENSG00000032742,ENSG00000179094
ENSG00000032742,ENSG00000141030
ENSG00000032742,ENSG00000170315
ENSG00000032742,ENSG00000198876
ENSG00000032742,ENSG00000123374
ENSG00000032742,ENSG00000177084
ENSG00000032742,ENSG00000100225
ENSG00000032742,ENSG00000155034
ENSG00000032742,ENSG00000099910
ENSG00000032742,ENSG00000134452
ENSG00000032742,ENSG00000072401
ENSG00000032742,ENSG00000003096
ENSG00000032742,ENSG00000214655
ENSG00000032742,ENSG00000164934
ENSG00000032742,ENSG00000108094
ENSG00000032742,ENSG00000129757
ENSG00000032742,ENSG00000165501
ENSG00000032742,ENSG00000165516
ENSG00000032742,ENSG00000144228
ENSG00000032742,ENSG00000105258
ENSG00000032742,ENSG00000166200
ENSG00000032742,ENSG00000171617
ENSG00000032742,ENSG00000183655
ENSG00000032742,ENSG00000167986
ENSG00000032742,ENSG00000185686
ENSG00000032742,ENSG00000221983
ENSG00000032742,ENSG00000174989
ENSG00000032742,ENSG00000128607
ENSG00000032742,ENSG00000131508
ENSG00000032742,ENSG00000225830
ENSG00000032742,ENSG00000181222
ENSG00000032742,ENSG00000158290
ENSG00000032742,ENSG00000100142
ENSG00000032742,ENSG00000043093
ENSG00000032742,ENSG00000005075
ENSG00000032742,ENSG00000122550
ENSG00000032742,ENSG00000160445
ENSG00000032742,ENSG00000162378
ENSG00000032742,ENSG00000100379
ENSG00000032742,ENSG00000139990
ENSG00000032742,ENSG00000115827
ENSG00000032742,ENSG00000174943
ENSG00000032742,ENSG00000198612
ENSG00000032742,ENSG00000124762
ENSG00000032742,ENSG00000156381
ENSG00000032742,ENSG00000144524
ENSG00000032742,ENSG00000100897
ENSG00000032742,ENSG00000130311
ENSG00000032742,ENSG00000163882
ENSG00000032742,ENSG00000239474
ENSG00000032742,ENSG00000140543
ENSG00000032742,ENSG00000139842
ENSG00000032742,ENSG00000116016
ENSG00000032742,ENSG00000168002
ENSG00000032742,ENSG00000162063
ENSG00000032742,ENSG00000099804
ENSG00000032742,ENSG00000076321
ENSG00000032742,ENSG00000100906
ENSG00000032742,ENSG00000232423
ENSG00000032742,ENSG00000145780
ENSG00000032742,ENSG00000204501
ENSG00000032742,ENSG00000062725
ENSG00000032742,ENSG00000132388
ENSG00000032742,ENSG00000100479
ENSG00000032742,ENSG00000162413
ENSG00000032742,ENSG00000166167
ENSG00000032742,ENSG00000168090
ENSG00000032742,ENSG00000010610
ENSG00000032742,ENSG00000122741
ENSG00000032742,ENSG00000166949
ENSG00000032742,ENSG00000102978
ENSG00000032742,ENSG00000111530
ENSG00000032742,ENSG00000174842
ENSG00000032742,ENSG00000123975
ENSG00000033011,ENSG00000221914
ENSG00000033011,ENSG00000135447
ENSG00000033011,ENSG00000073711
ENSG00000033011,ENSG00000129810
ENSG00000033011,ENSG00000113575
ENSG00000033011,ENSG00000100918
ENSG00000033011,ENSG00000149295
ENSG00000033011,ENSG00000198626
ENSG00000033011,ENSG00000129991
ENSG00000033011,ENSG00000104695
ENSG00000033011,ENSG00000137713
ENSG00000033011,ENSG00000105568
ENSG00000033011,ENSG00000171791
ENSG00000033100,ENSG00000158864
ENSG00000033100,ENSG00000101247
ENSG00000033327,ENSG00000184207
ENSG00000033327,ENSG00000184724
ENSG00000033327,ENSG00000170037
ENSG00000033627,ENSG00000136750
ENSG00000033627,ENSG00000066651
ENSG00000033800,ENSG00000118217
ENSG00000033800,ENSG00000145354
ENSG00000033800,ENSG00000213676
ENSG00000033800,ENSG00000143153
ENSG00000034053,ENSG00000068654
ENSG00000034053,ENSG00000142676
ENSG00000034053,ENSG00000121851
ENSG00000034053,ENSG00000171453
ENSG00000034053,ENSG00000161980
ENSG00000034053,ENSG00000186184
ENSG00000034053,ENSG00000231500
ENSG00000034053,ENSG00000104221
ENSG00000034053,ENSG00000100142
ENSG00000034053,ENSG00000186141
ENSG00000034053,ENSG00000158042
ENSG00000034053,ENSG00000142534
ENSG00000034053,ENSG00000147669
ENSG00000034053,ENSG00000115268
ENSG00000034053,ENSG00000102978
ENSG00000034053,ENSG00000125630
ENSG00000034053,ENSG00000125691
ENSG00000034053,ENSG00000099817
ENSG00000034053,ENSG00000241258
ENSG00000034053,ENSG00000100413
ENSG00000034053,ENSG00000122406
ENSG00000034053,ENSG00000177700
ENSG00000034053,ENSG00000149273
ENSG00000034053,ENSG00000113356
ENSG00000034053,ENSG00000262814
ENSG00000034053,ENSG00000280778
ENSG00000034053,ENSG00000132664
ENSG00000034053,ENSG00000163882
ENSG00000034053,ENSG00000168495
ENSG00000034053,ENSG00000145734
ENSG00000034053,ENSG00000179632
ENSG00000034053,ENSG00000185024
ENSG00000034053,ENSG00000148606
ENSG00000034053,ENSG00000198242
ENSG00000034053,ENSG00000058600
ENSG00000034053,ENSG00000148843
ENSG00000034152,ENSG00000213413
ENSG00000034152,ENSG00000108312
ENSG00000034152,ENSG00000141527
ENSG00000034152,ENSG00000162643
ENSG00000034152,ENSG00000175324
ENSG00000034693,ENSG00000163946
ENSG00000034713,ENSG00000113196
